"ppn","school","class","nom_like","SUS_1","SUS_2","SUS_3","SUS_4","SUS_5","SUS_6","SUS_7","SUS_8","group","cond_name","1_SELF_2easy40","1_SELF_6easy40","1_SELF_10easy40","1_SELF_2hard90","1_SELF_6hard90","1_SELF_10hard90","1_CLIMATE_2easy40","1_CLIMATE_6easy40","1_CLIMATE_10easy40","1_CLIMATE_2hard90","1_CLIMATE_6hard90","1_CLIMATE_10hard90","1_OTHERS_2easy40","1_OTHERS_6easy40","1_OTHERS_10easy40","1_OTHERS_2hard90","1_OTHERS_6hard90","1_OTHERS_10hard90","2_SELF_2easy40","2_SELF_6easy40","2_SELF_10easy40","2_SELF_2hard90","2_SELF_6hard90","2_SELF_10hard90","2_CLIMATE_2easy40","2_CLIMATE_6easy40","2_CLIMATE_10easy40","2_CLIMATE_2hard90","2_CLIMATE_6hard90","2_CLIMATE_10hard90","2_OTHERS_2easy40","2_OTHERS_6easy40","2_OTHERS_10easy40","2_OTHERS_2hard90","2_OTHERS_6hard90","2_OTHERS_10hard90"
52,1,7,"37",3,3,1,4,1,1,1,1,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,1,7,"31,35,40",3,4,2,5,4,2,4,3,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,1,7,"30,48",1,2,1,2,1,1,2,1,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,2,1,"74",1,3,1,5,1,3,3,1,3,"control",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1
59,2,1,"61",1,4,1,5,1,2,1,1,1,"pos_social_norm",1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,2,1,"61,69,77",3,5,3,5,3,5,5,3,3,"control",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,2,1,"65,73,78",1,3,2,4,2,2,1,1,1,"pos_social_norm",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,2,1,"78,79",3,3,2,4,2,3,3,4,3,"control",2,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,2,1,"65,66,75,78,82",3,2,3,5,5,4,5,3,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,2,1,"55,64,71,80,81",3,4,4,5,3,4,3,1,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
