"ppn","school","class","nom_like","SUS_1","SUS_2","SUS_3","SUS_4","SUS_5","SUS_6","SUS_7","SUS_8","group","cond_name","X1_SELF_2easy40","X1_SELF_6easy40","X1_SELF_10easy40","X1_SELF_2hard90","X1_SELF_6hard90","X1_SELF_10hard90","X1_CLIMATE_2easy40","X1_CLIMATE_6easy40","X1_CLIMATE_10easy40","X1_CLIMATE_2hard90","X1_CLIMATE_6hard90","X1_CLIMATE_10hard90","X1_OTHERS_2easy40","X1_OTHERS_6easy40","X1_OTHERS_10easy40","X1_OTHERS_2hard90","X1_OTHERS_6hard90","X1_OTHERS_10hard90","X2_SELF_2easy40","X2_SELF_6easy40","X2_SELF_10easy40","X2_SELF_2hard90","X2_SELF_6hard90","X2_SELF_10hard90","X2_CLIMATE_2easy40","X2_CLIMATE_6easy40","X2_CLIMATE_10easy40","X2_CLIMATE_2hard90","X2_CLIMATE_6hard90","X2_CLIMATE_10hard90","X2_OTHERS_2easy40","X2_OTHERS_6easy40","X2_OTHERS_10easy40","X2_OTHERS_2hard90","X2_OTHERS_6hard90","X2_OTHERS_10hard90","SUS_social_anxiety","SUS_peers_self_esteem","SUS_total","SUS_total_c"
"57","2","1","74",1,3,1,5,1,3,3,1,"control","control",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1.5,3,2.25,-0.298259493670886
"59","2","1","61",1,4,1,5,1,2,1,1,"high_norm","pos_social_norm",1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,-0.548259493670886
"61","2","1","61,69,77",3,5,3,5,3,5,5,3,"control","control",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5,4.5,4,1.45174050632911
"66","2","1","65,73,78",1,3,2,4,2,2,1,1,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2.5,2,-0.548259493670886
"70","2","1","78,79",3,3,2,4,2,3,3,4,"control","control",2,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,3.5,3,0.451740506329114
"73","2","1","65,66,75,78,82",3,2,3,5,5,4,5,3,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3.5,3.75,1.20174050632911
"74","2","1","55,64,71,80,81",3,4,4,5,3,4,3,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3.25,3.5,3.375,0.826740506329114
"80","2","1","68,71,74,76,81",1,5,2,3,1,2,2,1,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,NA,2,NA,2,1,1,2,1,NA,1.5,2.75,2.125,-0.423259493670886
"83","2","1","58,59,64,69,79",2,4,4,4,3,4,5,1,"control","control",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5,3.25,3.375,0.826740506329114
"85","2","2","89,90,92,93,103",2,2,2,3,3,2,3,2,"low_norm","neg_social_norm",2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,2.25,2.375,-0.173259493670886
"87","2","2","95,96,110,113",2,4,4,3,4,3,4,3,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5,3.25,3.375,0.826740506329114
"88","2","2","94",2,1,2,1,1,2,2,1,"control","control",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1.75,1.25,1.5,-1.04825949367089
"89","2","2",NA,2,2,2,4,2,2,1,1,"high_norm","pos_social_norm",2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1.75,2.25,2,-0.548259493670886
"92","2","2","96,101,102,110",3,4,3,4,3,3,4,2,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3.25,3.25,3.25,0.701740506329114
"93","2","2","85,89,90,100,105",3,3,3,4,4,5,5,5,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,3.75,4.25,4,1.45174050632911
"95","2","2","87,97,113",4,2,4,3,4,4,4,3,"low_norm","neg_social_norm",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,3,3.5,0.951740506329114
"96","2","2","86,92,93,102,110",1,5,1,4,1,2,1,1,"low_norm","neg_social_norm",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,2,1,1,3,2,-0.548259493670886
"100","2","2","90,92,93,104,105",NA,NA,NA,NA,NA,NA,NA,NA,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"102","2","2","96,101,110",2,3,2,4,2,2,2,1,"high_norm","pos_social_norm",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.5,2.25,-0.298259493670886
"103","2","2","85,88",2,1,1,1,3,3,2,2,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.75,1.875,-0.673259493670886
"104","2","2","108",2,3,5,4,1,1,5,5,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3.25,3.25,3.25,0.701740506329114
